country_code,country_name,sector_code,sector_name,year,ai_any_pct,ai_any_flag,ai_ge2_pct,ai_ge2_flag,ai_ge3_pct,ai_ge3_flag,ai_workflow_pct,ai_workflow_flag,ai_production_pct,ai_production_flag,ai_logistics_pct,ai_logistics_flag,ai_marketing_pct,ai_marketing_flag,ai_security_pct,ai_security_flag,value_added_meur_ge10,persons_employed_ge10,av_size_groups_available,emp_size_groups_available,labour_productivity_keur,missing_ai_measures,ai_any_break,core_complete,balanced_entity
BG,Bulgaria,N,Administrative and support service activities,2024,3.9,,1.88,,,,1.98,,,,0.0,,,,,,1804.78,97002.0,4,4,18.605595760912145,4,No,Yes,Yes
CZ,Czechia,C,Manufacturing,2021,4.19,,1.65,,0.86,,1.8,,2.43,,0.55,,0.63,,1.48,,42651.95,1086019.0,4,4,39.27366832440316,0,No,Yes,Yes
CZ,Czechia,C,Manufacturing,2023,6.01,,2.94,,1.17,,2.39,,3.36,,1.16,,0.72,,1.82,,51697.18,1068086.0,4,4,48.40170173562803,0,No,Yes,Yes
CZ,Czechia,C,Manufacturing,2024,9.55,,5.3,,2.72,,2.61,,2.98,,1.34,,3.91,,2.34,,52506.37,1043481.0,4,4,50.31847249734303,0,No,Yes,Yes
CZ,Czechia,F,Construction,2021,0.35,,0.07,,0.02,,0.07,,0.04,,0.0,,0.05,,0.23,,5424.3099999999995,169315.0,4,4,32.036795322328196,0,No,Yes,Yes
CZ,Czechia,F,Construction,2023,1.34,,0.38,,0.0,,0.08,,0.42,,0.02,,0.0,,0.86,,7158.32,172592.0,4,4,41.4753870399555,0,No,Yes,Yes
CZ,Czechia,F,Construction,2024,2.35,,0.82,,0.73,,0.67,,0.28,,0.02,,1.4,,0.61,,7045.13,168737.0,4,4,41.75213497928729,0,No,Yes,Yes
CZ,Czechia,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,2021,4.21,,1.97,,0.64,,0.95,,0.54,,0.26,,0.96,,0.93,,17357.769999999997,455968.0,4,4,38.06795652326478,0,No,Yes,Yes
CZ,Czechia,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,2023,5.16,,1.62,,0.65,,1.63,,0.57,,0.36,,1.44,,0.98,,20253.23,459215.0,4,4,44.104025347604065,0,No,Yes,Yes
CZ,Czechia,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,2024,12.72,,7.59,,3.46,,1.75,,0.64,,0.52,,9.13,,2.88,,19602.670000000002,455969.0,4,4,42.99123405319222,0,No,Yes,Yes
CZ,Czechia,H,Transportation and storage,2021,3.34,,1.01,,0.39,,0.67,,0.11,,1.75,,0.39,,1.24,,7237.209999999999,226916.0,4,4,31.89378448412628,0,No,Yes,Yes
CZ,Czechia,H,Transportation and storage,2023,4.42,,1.8,,1.04,,1.76,,0.2,,1.14,,0.38,,1.55,,8874.75,225353.0,4,4,39.381548060154515,0,No,Yes,Yes
CZ,Czechia,H,Transportation and storage,2024,5.65,,2.93,,0.69,,0.9,,0.25,,1.47,,2.51,,0.86,,9204.48,223616.0,4,4,41.161991986262166,0,No,Yes,Yes
CZ,Czechia,I,Accommodation and food service activities,2021,0.93,,0.61,,0.51,,0.13,,0.0,,0.0,,0.71,,0.18,,852.34,79852.0,4,4,10.67399689425437,0,No,Yes,Yes
CZ,Czechia,I,Accommodation and food service activities,2023,2.63,,0.97,,0.23,,0.33,,0.0,,0.0,,1.65,,0.53,,2132.0299999999997,91908.0,4,4,23.19743656700178,0,No,Yes,Yes
CZ,Czechia,I,Accommodation and food service activities,2024,4.24,,1.3,,0.29,,0.79,,0.0,,0.28,,2.66,,0.8,,2252.88,97043.0,4,4,23.215275702523623,0,No,Yes,Yes
CZ,Czechia,J,Information and communication,2021,21.22,,15.15,,7.94,,8.0,,5.14,,1.2,,7.99,,10.08,,8944.71,118311.0,4,4,75.60336739610011,0,No,Yes,Yes
