country_code,country_name,sector_code,sector_name,year,ai_any_pct,ai_any_flag,ai_ge2_pct,ai_ge2_flag,ai_ge3_pct,ai_ge3_flag,ai_workflow_pct,ai_workflow_flag,ai_production_pct,ai_production_flag,ai_logistics_pct,ai_logistics_flag,ai_marketing_pct,ai_marketing_flag,ai_security_pct,ai_security_flag,value_added_meur_ge10,persons_employed_ge10,av_size_groups_available,emp_size_groups_available,labour_productivity_keur,missing_ai_measures,ai_any_break,core_complete,balanced_entity,gva_current_meur_na,gva_current_meur_na_status,gva_volume_2020_meur_na,gva_volume_2020_meur_na_status,na_deflator_cp_over_clv20,na_deflator_base,na_deflator_norm_2021,value_added_real_2021_meur_ge10,labour_productivity_real_2021_keur,real_productivity_available
BG,Bulgaria,H,Transportation and storage,2024,4.4,,2.52,,1.71,,2.62,,,,1.09,,1.97,,,,2679.62,105758.0,4,4,25.3372794493088,2,No,Yes,Yes,4376.2,,3619.5,,1.209062025141594,0.9883111386058021,1.2233617308484475,2190.3742224645057,20.711191800757444,Yes
BG,Bulgaria,I,Accommodation and food service activities,2021,,,0.0,,0.0,,0.0,,,,0.0,,,,0.0,,754.17,73346.0,4,4,10.282360319581164,3,No,No,No,1420.5,,1409.1,,1.0080902703853525,1.0080902703853525,1.0,754.17,10.282360319581164,Yes
BG,Bulgaria,I,Accommodation and food service activities,2023,0.76,,,,0.0,,0.53,,,,0.0,,0.65,,,,1464.72,92886.0,4,4,15.769007170079451,3,No,Yes,No,2361.5,,1662.2,,1.4207074960895199,1.0080902703853525,1.4093058308621909,1039.320187232822,11.189201679831427,Yes
BG,Bulgaria,I,Accommodation and food service activities,2024,2.66,,0.74,,,,0.39,,,,,,0.89,,,,1749.36,100999.0,4,4,17.320567530371587,4,No,Yes,No,2741.5,,1756.1,,1.5611297762086442,1.0080902703853525,1.548601173991975,1129.6388181667912,11.184653493270144,Yes
BG,Bulgaria,J,Information and communication,2021,20.82,,14.72,,8.09,,11.81,,2.73,,,,7.61,,3.05,,4063.3,102956.0,4,4,39.4663739850033,1,No,Yes,Yes,4867.4,,4833.0,,1.007117732257397,1.007117732257397,1.0,4063.3,39.4663739850033,Yes
BG,Bulgaria,J,Information and communication,2023,21.4,,16.73,,9.55,,12.0,,4.79,,,,7.4,,6.11,,5916.33,118171.0,4,4,50.065836795829775,1,No,Yes,Yes,6846.6,,5140.5,,1.3318937846512986,1.007117732257397,1.3224807209639082,4473.660678915457,37.8575173174083,Yes
BG,Bulgaria,J,Information and communication,2024,33.92,,29.32,,18.68,,19.7,,8.78,,0.95,,14.22,,6.26,,6565.06,118832.0,4,4,55.24656658139221,0,No,Yes,Yes,7736.9,,5224.7,,1.4808314352977203,1.007117732257397,1.4703657654587425,4464.916250244546,37.573349352401245,Yes
BG,Bulgaria,L,Real estate activities,2021,,,0.0,,0.0,,,,0.0,,0.0,,,,0.0,,,,2,2,,3,No,No,No,5619.9,,5582.3,,1.006735574942228,1.006735574942228,1.0,,,No
BG,Bulgaria,L,Real estate activities,2023,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,355.08,,4,2,,0,No,No,No,7177.3,,6257.2,,1.1470466023141341,1.006735574942228,1.1393722749689839,311.64528732250045,,No
BG,Bulgaria,L,Real estate activities,2024,,,,,,,,,,,0.0,,,,,,,,2,2,,7,No,No,No,7327.5,,6092.7,,1.202668767541484,1.006735574942228,1.194622299515441,,,No
BG,Bulgaria,M,"Professional, scientific and technical activities",2021,3.68,,2.38,,,,1.0,,,,,,,,,,1118.2,45421.0,4,4,24.618568503555625,5,No,Yes,Yes,2752.7,,2717.5,,1.012953081876725,1.012953081876725,1.0,1118.2,24.618568503555625,Yes
BG,Bulgaria,M,"Professional, scientific and technical activities",2023,9.65,,5.52,,,,5.6,,2.46,,,,4.35,,2.97,,1515.71,48873.0,4,4,31.013238393386946,2,No,Yes,Yes,3577.0,,2839.0,,1.259950686861571,1.012953081876725,1.2438391366826458,1218.5739741574955,24.933480125171275,Yes
BG,Bulgaria,M,"Professional, scientific and technical activities",2024,14.17,,11.65,,7.38,,7.27,,1.95,,,,2.56,,4.52,,1636.8,50462.0,4,4,32.43628869248147,1,No,Yes,Yes,4010.0,,2943.9,,1.3621386596012093,1.012953081876725,1.3447203863357018,1217.2047190124044,24.121214359565702,Yes
BG,Bulgaria,N,Administrative and support service activities,2021,2.88,,,,,,1.76,,0.0,,0.0,,0.0,,,,1128.52,96948.0,4,4,11.640467054503445,3,No,Yes,Yes,1566.3,,1546.6,,1.0127376180007759,1.0127376180007759,1.0,1128.52,11.640467054503445,Yes
BG,Bulgaria,N,Administrative and support service activities,2023,6.16,,1.49,,,,2.05,,,,0.0,,,,,,1438.64,96308.0,4,4,14.937907546621258,4,No,Yes,Yes,2268.6,,1833.4,,1.2373731864295843,1.0127376180007759,1.2218102343944295,1177.4659922643705,12.226045523366393,Yes
BG,Bulgaria,N,Administrative and support service activities,2024,3.9,,1.88,,,,1.98,,,,0.0,,,,,,1804.78,97002.0,4,4,18.605595760912145,4,No,Yes,Yes,2640.0,,1904.2,,1.3864089906522423,1.0127376180007759,1.368971553944173,1318.3473351219097,13.590929415083293,Yes
CZ,Czechia,C,Manufacturing,2021,4.19,,1.65,,0.86,,1.8,,2.43,,0.55,,0.63,,1.48,,42651.95,1086019.0,4,4,39.27366832440316,0,No,Yes,Yes,48319.2,,46548.7,,1.038035433857444,1.038035433857444,1.0,42651.95,39.27366832440316,Yes
CZ,Czechia,C,Manufacturing,2023,6.01,,2.94,,1.17,,2.39,,3.36,,1.16,,0.72,,1.82,,51697.18,1068086.0,4,4,48.40170173562803,0,No,Yes,Yes,65201.7,,52394.4,,1.2444402455224222,1.038035433857444,1.1988417783562137,43122.60461166472,40.37371954286895,Yes
