country_code,sector_code,year,gva_current_meur_na,gva_current_meur_na_status,gva_volume_2020_meur_na,gva_volume_2020_meur_na_status,na_deflator_cp_over_clv20,na_deflator_base,na_deflator_norm_2021
EE,H,2024,1749.1,,1542.6,,1.1338649034098276,1.003267053455754,1.1301725692119853
EE,I,2021,347.7,,348.0,,0.9991379310344827,0.9991379310344827,1.0
EE,I,2023,637.5,,503.4,,1.266388557806913,0.9991379310344827,1.2674812140259009
EE,I,2024,679.1,,492.3,,1.379443428803575,0.9991379310344827,1.3806336302089277
EE,J,2021,1885.7,,1711.4,,1.101846441509875,1.101846441509875,1.0
EE,J,2023,3034.1,,2249.0,,1.3490884837705646,1.101846441509875,1.22438883763321
EE,J,2024,3040.2,,2122.7,,1.4322325340368398,1.101846441509875,1.2998476739410552
EE,L,2021,3178.3,,3087.9,,1.0292755594416918,1.0292755594416918,1.0
EE,L,2023,3560.6,,2964.1,,1.2012415235653318,1.0292755594416918,1.167074757139788
EE,L,2024,3706.8,,3256.1,,1.13841712478118,1.0292755594416918,1.1060372650825303
EE,M,2021,1754.2,,1731.6,,1.0130515130515132,1.0130515130515132,1.0
EE,M,2023,1991.0,,1771.5,,1.1239062941010443,1.0130515130515132,1.1094265983726872
EE,M,2024,2161.5,,1803.8,,1.198303581328307,1.0130515130515132,1.1828653981462183
EE,N,2021,952.8,,939.4,,1.0142644241004897,1.0142644241004897,1.0
EE,N,2023,1360.9,,1163.1,,1.170062763304961,1.0142644241004897,1.1536072206640222
EE,N,2024,1390.3,,1077.3,,1.2905411677341503,1.0142644241004897,1.2723912394725658
EL,C,2021,15994.5,,16014.9,,0.9987261862390648,0.9987261862390648,1.0
EL,C,2023,20104.7,p,18048.2,p,1.1139448809299541,0.9987261862390648,1.1153656490421784
EL,C,2024,21462.2,p,19536.4,p,1.098574967752503,0.9987261862390648,1.0999761324867647
EL,F,2021,3025.8,,3095.0,,0.9776413570274637,0.9776413570274637,1.0
EL,F,2023,4438.8,p,3709.9,p,1.1964742984986119,0.9776413570274637,1.2238376475157655
EL,F,2024,4574.0,p,3948.1,p,1.158531952078215,0.9776413570274637,1.1850275602095561
EL,G,2021,19137.8,,17610.8,,1.086708156358598,1.086708156358598,1.0
