country_code,sector_code,delta_labour_productivity_keur_2021_2024,delta_ai_any_pct_2021_2024,delta_ai_ge2_pct_2021_2024,delta_ai_ge3_pct_2021_2024,delta_ai_workflow_pct_2021_2024,delta_ai_production_pct_2021_2024,delta_ai_logistics_pct_2021_2024,delta_ai_marketing_pct_2021_2024,delta_ai_security_pct_2021_2024,delta_log_productivity_2021_2024
DK,H,-29.312115179165346,-0.17999999999999972,5.57,3.24,-4.139999999999999,-1.37,-5.03,-0.6100000000000003,-2.5700000000000003,-0.1705833544588211
DK,I,7.873083220169864,-1.4200000000000017,1.3599999999999999,0.30000000000000004,-4.18,0.20999999999999996,-0.23999999999999996,1.1500000000000004,-5.069999999999999,0.3028416698383669
DK,J,11.522671907947696,13.549999999999997,15.550000000000004,15.610000000000003,-12.129999999999999,-1.6199999999999992,-1.79,5.52,-2.469999999999999,0.10397653014800845
DK,L,93.77418243589591,10.27,6.790000000000001,6.03,-1.9799999999999986,-1.85,0.0,-1.0999999999999996,1.1099999999999994,0.8398845841101465
DK,M,13.108547828053219,5.68,7.779999999999998,9.600000000000001,-7.719999999999999,0.23000000000000043,-0.8999999999999999,4.48,1.2400000000000002,0.11861806283087173
DK,N,4.415797850156046,8.8,11.209999999999999,8.41,-1.4000000000000004,-0.8999999999999999,-0.52,4.86,-1.46,0.08570719535390303
EE,C,5.5486402137201765,7.049999999999999,3.3100000000000005,1.31,0.9899999999999999,1.9000000000000001,0.09999999999999998,3.93,1.04,0.1363077962084418
EE,F,14.659542772821922,7.410000000000001,2.21,0.69,0.51,0.69,0.11,3.0,2.71,0.346940451869826
EE,G,1.8306533817419606,8.42,4.14,1.7699999999999998,1.5299999999999998,0.5900000000000001,0.4800000000000001,5.0,1.21,0.047799288428219455
EE,H,3.4619437267520397,7.770000000000001,3.9199999999999995,2.34,0.38,1.5699999999999998,1.1199999999999999,4.17,1.84,0.0809041164201516
EE,J,28.00525795947972,32.77,23.97,19.990000000000002,13.4,14.9,0.15000000000000002,21.62,13.620000000000001,0.46762129019154886
EE,L,16.511813845864594,9.71,1.11,0.0,4.1,0.0,0.0,0.0,0.0,0.26686854237254254
EE,N,7.897506897713303,17.7,10.690000000000001,1.9400000000000002,5.22,7.21,1.27,10.02,5.97,0.290666328657716
EL,C,13.862400023090586,2.130000000000001,1.61,0.45999999999999996,0.19999999999999996,-2.1500000000000004,0.09999999999999998,-2.3400000000000003,3.08,0.25952180556434135
EL,G,6.500997065019554,8.57,3.9800000000000004,3.0199999999999996,1.89,-0.49,-0.2,1.26,3.49,0.1800792941104472
EL,H,7.910836480268749,6.210000000000001,3.9399999999999995,3.0,-0.1200000000000001,0.04000000000000001,-1.88,0.66,1.1399999999999997,0.1417525426034416
EL,I,6.460335097285737,6.12,2.08,2.02,2.77,-0.05,-0.01,0.49000000000000005,3.68,0.49306078780971774
EL,J,3.159761740401379,14.469999999999999,11.420000000000002,10.62,8.530000000000001,2.7399999999999998,0.38999999999999996,4.33,6.27,0.04425128997660277
EL,M,11.32945573898408,11.82,10.479999999999999,4.33,5.830000000000001,1.42,0.63,-0.7799999999999998,7.08,0.28594654167166356
EL,N,5.395212051188437,12.56,5.17,0.71,1.79,0.26,2.07,6.590000000000001,6.04,0.23488655670724956
ES,C,10.41599908915967,2.3900000000000006,1.2000000000000002,0.7000000000000002,0.5499999999999998,0.06000000000000005,0.22999999999999998,1.31,0.8099999999999998,0.13978186583874308
ES,F,7.609877097183357,0.6599999999999997,0.8499999999999999,0.35,0.45000000000000007,0.8,-0.05000000000000002,0.20999999999999996,0.10000000000000003,0.15113148268328613
ES,G,8.273212651484933,3.59,2.68,1.12,0.48999999999999977,0.62,0.12,1.7600000000000002,0.99,0.15385603688706162
ES,H,17.447641553779782,-0.4299999999999997,1.54,0.75,0.6799999999999997,0.43999999999999995,-0.9199999999999999,-0.07000000000000006,0.08000000000000007,0.2780816297782307
ES,I,13.395130183666673,-0.04999999999999982,0.6900000000000002,0.5900000000000001,-0.20999999999999996,-0.37,-0.22999999999999998,-0.29000000000000004,-0.41000000000000014,0.44784875230395293
ES,J,8.314329706636116,19.92,12.079999999999998,7.960000000000001,10.309999999999999,8.959999999999999,0.31999999999999984,9.82,5.039999999999999,0.10066842367050644
ES,L,1.760637385603502,-1.1999999999999993,0.47999999999999954,0.22999999999999998,1.7899999999999996,-1.8599999999999999,0.0,1.4400000000000002,-0.8499999999999996,0.014577366475053921
ES,M,8.914399615648051,12.35,9.969999999999999,6.67,5.200000000000001,3.4199999999999995,0.61,2.67,2.22,0.13787597322235623
ES,N,5.949469696274829,1.0500000000000007,1.52,0.3500000000000001,0.6000000000000001,1.55,1.0,1.82,1.3900000000000001,0.1982162446120097
FI,C,-2.659173858438237,4.5,7.09,5.979999999999999,-2.63,-0.8699999999999992,-0.8999999999999999,4.93,0.98,-0.025811290013583843
FI,F,4.874939315000589,1.8699999999999992,6.58,3.4,2.24,0.81,-0.28000000000000014,-0.5299999999999998,3.23,0.06568375445119123
FI,G,-2.187404838979802,8.329999999999998,7.29,4.57,-0.04999999999999982,1.53,0.81,6.24,2.9499999999999997,-0.036484359914491726
FI,H,9.615724137587712,1.25,0.8000000000000003,-0.41999999999999993,0.29000000000000004,1.2299999999999998,-0.30000000000000027,-0.98,0.4999999999999999,0.16495358580839614
FI,I,9.075904024076458,5.91,2.2,,1.71,,0.31,4.92,,0.2710720132398925
FI,J,3.4229055593652333,25.790000000000006,31.25,27.019999999999996,8.279999999999998,7.58,0.8900000000000001,11.489999999999998,7.209999999999999,0.03000422998008645
FI,L,26.597383926067877,14.18,11.07,6.539999999999999,-1.25,-0.33999999999999986,0.11999999999999988,3.58,1.46,0.20120625524436964
FI,M,4.178664857616511,18.830000000000002,10.59,11.28,3.6199999999999974,5.8999999999999995,,9.590000000000002,3.03,0.055911246935291814
FI,N,6.970615343806479,7.5,8.5,2.3899999999999997,6.949999999999999,7.389999999999999,,0.9900000000000002,3.0300000000000002,0.1758110403400237
